time,symbol,open,high,low,close,volume_from,volume_to
2020-11-25 00:00:00,LTC,89.3,90.66,78.31,81.77,1006402.73,86556944.23
2020-11-26 00:00:00,LTC,81.77,83.21,64.65,71.03,1880320.69,135853651.83
2020-11-27 00:00:00,LTC,71.03,73.53,65.44,69.19,1236137.29,85459671.17
2020-11-28 00:00:00,LTC,69.19,74.97,68.41,72.75,949192.65,68144692.35
2020-11-29 00:00:00,LTC,72.75,80.64,74.22,79.02,1892901.79,149579099.6
2020-11-30 00:00:00,LTC,78.98,88.4,76.84,87.67,1375213.91,114339625.92
2020-12-01 00:00:00,LTC,87.67,92.91,80.08,85.16,2252551.78,197272725.99
2020-12-02 00:00:00,LTC,85.16,90.63,83.03,89.04,1256843.01,109385061.74
2020-12-03 00:00:00,LTC,89.04,91.26,85.58,89.08,906741.86,80362893.53
2020-12-04 00:00:00,LTC,89.08,89.86,78.04,79.68,923032.01,78111683.33
2020-12-05 00:00:00,LTC,79.68,84.29,78.74,83.17,546650.87,44835840.77
2020-12-06 00:00:00,LTC,83.17,85.16,80.4,83.68,437464.03,36332676.31
2020-12-07 00:00:00,LTC,83.68,86.82,81.81,83.47,563024.28,47235868.11
2020-12-08 00:00:00,LTC,83.47,84.77,75.58,76.74,765989.26,61012853.29
2020-12-09 00:00:00,LTC,76.74,78.16,72.23,77.45,858011.79,65221756.53
2020-12-10 00:00:00,LTC,77.43,76.32,74.12,74.7,916423.74,68456096.15
2020-12-11 00:00:00,LTC,74.68,75.03,70.04,72.17,828629.94,59546397.02
2020-12-12 00:00:00,LTC,72.19,77.52,75.22,76.69,993895.06,76221671.5
2020-12-13 00:00:00,LTC,76.65,84.31,75.62,82.22,680931.01,54781896.48
2020-12-14 00:00:00,LTC,82.22,82.97,79.18,82.36,569212.9,46244608.4
2020-12-15 00:00:00,LTC,82.36,84.88,80.48,81.37,715751.91,58947328.27
2020-12-16 00:00:00,LTC,81.37,93.19,78.57,93.1,1584823.21,137340007.79
2020-12-17 00:00:00,LTC,93.1,109.77,90.48,101.13,2660393.5,266887441.24
2020-12-18 00:00:00,LTC,101.13,112.78,99.33,109.44,1834417.74,197496854.37
2020-12-19 00:00:00,LTC,109.44,124.29,105.47,119.98,1746688.04,202264988.09
2020-12-20 00:00:00,LTC,119.98,123.14,109.89,114.69,1842863.49,215486578.59
2020-12-21 00:00:00,LTC,114.69,118.69,100.71,104.53,2012207.68,217289007.29
2020-12-22 00:00:00,LTC,104.53,114.55,98.38,114.45,1913257.79,204917853.99
2020-12-23 00:00:00,LTC,114.45,117.2,95.35,102.39,2514174.14,269985576.47
2020-12-24 00:00:00,LTC,102.39,112.26,98.67,111.26,1579762.44,165646552.93
2020-12-25 00:00:00,LTC,111.26,128.49,108.32,127.63,1960081.82,233083281.12
2020-12-26 00:00:00,LTC,127.63,134.93,124.9,129.5,2048266.67,266884584.17
2020-12-27 00:00:00,LTC,129.5,139.22,121.67,127.66,2680583.37,352297938.47
2020-12-28 00:00:00,LTC,127.66,136.99,126.38,129.7,1354413.94,178191635.72
2020-12-29 00:00:00,LTC,129.7,130.65,120.06,128.68,1102009.92,138554332.54
2020-12-30 00:00:00,LTC,128.68,132.88,122.79,130.04,1099291.31,140699275.18
2020-12-31 00:00:00,LTC,130.04,130.32,122.09,124.38,842510.32,105772380.13
2021-01-01 00:00:00,LTC,124.38,134.07,123.16,126.49,994192.19,127656503.43
2021-01-02 00:00:00,LTC,126.49,141.72,123.65,136.99,1847853.21,246193745.33
2021-01-03 00:00:00,LTC,136.99,164.65,135.51,161.35,2617045.58,392291287.85
2021-01-04 00:00:00,LTC,161.35,173.8,140.8,155.52,2529372.56,394314853.48
2021-01-05 00:00:00,LTC,155.52,163.18,146.89,158.85,1566584.59,243261770.18
2021-01-06 00:00:00,LTC,158.85,169.83,155.31,169.27,1644531.94,268643787.9
2021-01-07 00:00:00,LTC,169.27,181.2,162.28,169.66,2240161.53,382809175.05
2021-01-08 00:00:00,LTC,169.66,181.54,150.29,172.41,2186416.07,368378852.78
2021-01-09 00:00:00,LTC,172.41,179.3,163.56,177.74,1291218.24,221841146.03
2021-01-10 00:00:00,LTC,177.74,186.15,161.18,170.35,1814100.47,317704113.24
2021-01-11 00:00:00,LTC,170.35,170.65,112.06,139.51,4310183.72,582652209.76
2021-01-12 00:00:00,LTC,139.51,146.87,128.04,133.42,1921092.6,264348700.83
2021-01-13 00:00:00,LTC,133.42,148.46,125.92,147.5,1310094.42,179308479.09
2021-01-14 00:00:00,LTC,147.5,156.85,143.54,152.51,1198682.06,179892159.38
2021-01-15 00:00:00,LTC,152.51,155.35,130.72,143.84,1195809.39,172022304.9
2021-01-16 00:00:00,LTC,143.84,152.64,139.33,143.6,957975.92,139864436.51
2021-01-17 00:00:00,LTC,143.6,146.99,136.36,142.83,682861.7,97115636.17
2021-01-18 00:00:00,LTC,142.83,154.76,138.38,151.87,1001425.38,147316000.49
2021-01-19 00:00:00,LTC,151.87,166.19,150.27,152,1231666.24,195896298.7
2021-01-20 00:00:00,LTC,152,152.58,145.73,149.78,2123479.48,318055440.74
2021-01-21 00:00:00,LTC,149.82,150.27,125.64,129.77,1222470.02,165486945.94
2021-01-22 00:00:00,LTC,129.77,141.91,122.58,138.02,1204210.17,161719884.4
2021-01-23 00:00:00,LTC,137.94,139.99,133.66,137.74,1337815.82,184271117.74
2021-01-24 00:00:00,LTC,137.74,141.89,137.92,141.24,1051731.04,148547556.97
2021-01-25 00:00:00,LTC,141.12,147.61,136.68,137.13,803990.77,115206602.05
2021-01-26 00:00:00,LTC,137.07,139.3,134.26,134.72,1199669.73,161614638.2
2021-01-27 00:00:00,LTC,134.79,135.05,118.2,122.73,804851.49,100680488.44
2021-01-28 00:00:00,LTC,122.73,136.19,120.96,133.56,674499.65,87673375.33
2021-01-29 00:00:00,LTC,133.56,145.84,131.73,134.85,1307596.84,180451980.11
2021-01-30 00:00:00,LTC,134.64,135.76,131.03,133.53,1659374.24,221577300.32
2021-01-31 00:00:00,LTC,133.53,131.05,127.24,129.56,1087184.95,140852254.21
2021-02-01 00:00:00,LTC,129.62,136.59,126.07,132.05,652826.74,85629278.01
2021-02-02 00:00:00,LTC,132.05,145.94,131.92,142.16,1289565.72,181547105.31
2021-02-03 00:00:00,LTC,142.16,156.79,142.12,156.21,1232215.99,187334913.15
2021-02-04 00:00:00,LTC,156.21,158.93,141.39,145.28,1264335.02,189199434.56
2021-02-05 00:00:00,LTC,145.28,156.97,143.76,155.15,971133.33,147707773.39
2021-02-06 00:00:00,LTC,155.15,164.12,150.05,155.7,1391258.85,221416068.5
2021-02-07 00:00:00,LTC,155.7,157.43,145.39,151.01,788655.26,119137248.26
2021-02-08 00:00:00,LTC,151.01,169.4,148.04,167.57,1254383.11,200942770.65
2021-02-09 00:00:00,LTC,167.57,184.32,164.57,181.71,1460365.36,251144142.25
2021-02-10 00:00:00,LTC,181.71,195.19,170.9,181.87,1968966.4,361753937.54
2021-02-11 00:00:00,LTC,181.87,193.5,175.9,183.89,1178847.49,218883121.73
2021-02-12 00:00:00,LTC,183.89,199.98,177.01,196.98,1382383.74,260712215.78
2021-02-13 00:00:00,LTC,196.98,229.21,192.08,226.54,2203377.23,463253630.21
2021-02-14 00:00:00,LTC,226.53,234.9,210.72,213.88,2876696.97,615262242.07
2021-02-15 00:00:00,LTC,213.82,219.98,186.04,207.99,2004965.73,411286992.47
2021-02-16 00:00:00,LTC,207.99,221.88,200.41,210.27,1296326.07,273685984.05
2021-02-17 00:00:00,LTC,210.27,237.57,203.55,237.49,1376512.39,307096631.17
2021-02-18 00:00:00,LTC,237.49,239.02,220.88,226.65,1053285.24,241625952.07
2021-02-19 00:00:00,LTC,226.65,241.93,220.22,236.69,1140022.14,265271164.49
2021-02-20 00:00:00,LTC,236.69,246.92,215.9,227.14,1405413.73,331163992.6
2021-02-21 00:00:00,LTC,227.14,233.71,220.23,227.5,980291.79,223486126.51
2021-02-22 00:00:00,LTC,227.5,227.6,178.74,208.04,2240215.15,463489792.91
2021-02-23 00:00:00,LTC,208.04,208.67,159.02,177.58,3028202.51,537643828.9
2021-02-24 00:00:00,LTC,177.58,189.58,169.08,181.64,1227253.09,222549598.17
2021-02-25 00:00:00,LTC,181.64,205.17,175.28,179.3,1416138.44,270550831.24
2021-02-26 00:00:00,LTC,179.3,182.59,162.66,170.32,1291766.94,223595611.48
2021-02-27 00:00:00,LTC,170.32,180.41,167.31,172.03,683739.91,119553814.33
2021-02-28 00:00:00,LTC,172.03,173.05,153.13,165.6,994991.95,160664085.01
2021-03-01 00:00:00,LTC,165.6,176.63,163.59,176.07,730075.61,124538386.18
2021-03-02 00:00:00,LTC,176.07,185.36,170.84,179.09,819880.52,145196197.78
2021-03-03 00:00:00,LTC,179.09,196.59,177.19,187.86,967492.02,183655223.27
2021-03-04 00:00:00,LTC,187.86,194.37,177.03,180.67,781745.14,144557545.83
2021-03-05 00:00:00,LTC,180.67,183.52,168.69,180.55,765737.42,134154446.82
2021-03-06 00:00:00,LTC,180.55,184.68,174.76,182.8,528040.53,95398254.59
2021-03-07 00:00:00,LTC,182.8,192.1,182.48,190.6,465300.57,86807498.26
2021-03-08 00:00:00,LTC,190.6,195.2,180,191.87,685695.53,128104824.72
2021-03-09 00:00:00,LTC,191.87,205.09,189.13,203.94,807022.49,160053490.21
2021-03-10 00:00:00,LTC,203.94,207.99,191.46,200.27,954742.3,191699505.05
2021-03-11 00:00:00,LTC,200.27,203.44,191.13,201.46,678146.45,134566344.11
2021-03-12 00:00:00,LTC,201.46,224.22,198.72,220.76,1345378.33,284464073.69
2021-03-13 00:00:00,LTC,220.76,229.96,212.76,226.18,933272.29,208702036.43
2021-03-14 00:00:00,LTC,226.18,227.93,214.05,214.06,456057.36,100453531.06
2021-03-15 00:00:00,LTC,214.06,222.38,197.77,200.8,915949.3,189362629.67
2021-03-16 00:00:00,LTC,200.8,205.17,191.33,201.62,715945.56,142372184.09
2021-03-17 00:00:00,LTC,201.62,206.81,194.39,206.01,555501.49,111518718.09
2021-03-18 00:00:00,LTC,206.01,208.19,199.1,199.67,594281.82,121298403.87
2021-03-19 00:00:00,LTC,199.67,204.89,195.88,200.06,392421.14,78961630.33
2021-03-20 00:00:00,LTC,200.06,206.04,198.9,200.08,322306.64,65352024.56
2021-03-21 00:00:00,LTC,200.08,201.86,192.41,195.52,360835.6,70992058.27
2021-03-22 00:00:00,LTC,195.52,198.97,184.98,185.77,499398.37,95932660.18
2021-03-23 00:00:00,LTC,185.77,189.43,181.01,185.96,448185.88,83244063.31
2021-03-24 00:00:00,LTC,185.96,196.98,172.45,176.13,718236.18,134358793.89
2021-03-25 00:00:00,LTC,176.13,178.14,167.93,171.69,578515.89,100433288.43
2021-03-26 00:00:00,LTC,171.69,183.87,171.52,183.65,425012.41,75975610.8
2021-03-27 00:00:00,LTC,183.65,186.15,177.87,184.16,291194.08,53170833.2
2021-03-28 00:00:00,LTC,184.13,185.42,182.79,184.3,580928,107065295.91
2021-03-29 00:00:00,LTC,184.24,197.52,182.4,193.72,593895.93,114666750.38
2021-03-30 00:00:00,LTC,193.72,200.08,190.23,195.79,487355.59,95196464.02
2021-03-31 00:00:00,LTC,195.79,198.96,187.22,196.72,499846.58,96696222.43
2021-04-01 00:00:00,LTC,196.72,204.89,194.27,202.58,577898.06,115398915.97
2021-04-02 00:00:00,LTC,202.58,213.54,200.84,211.58,626532.55,129354332.05
2021-04-03 00:00:00,LTC,211.58,217.74,195.07,195.32,621513.31,129180741.22
2021-04-04 00:00:00,LTC,195.32,204.68,192.29,202.29,389487.81,78112838.97
2021-04-05 00:00:00,LTC,202.29,225.04,198.22,221.38,1071637.24,228468089.24
2021-04-06 00:00:00,LTC,221.38,244.33,213.16,236.9,1838493.1,425212661.37
2021-04-07 00:00:00,LTC,236.9,242.78,211.01,219.24,1619046.3,364033650.81
2021-04-08 00:00:00,LTC,219.24,228.05,217.04,226.31,707892.33,158146983.44
2021-04-09 00:00:00,LTC,226.31,228.84,219.03,220.97,475797.97,106900751.15
2021-04-10 00:00:00,LTC,220.97,256.35,219.22,255.96,1131401.66,269740764.89
2021-04-11 00:00:00,LTC,255.96,263.07,244.73,252.23,912878.96,231441970.25
2021-04-12 00:00:00,LTC,252.23,258.69,240.21,244.54,781953.3,194634450.79
2021-04-13 00:00:00,LTC,244.54,273.17,244.43,267.34,1100603.41,288722037.02
2021-04-14 00:00:00,LTC,267.34,282.99,255.34,278.89,1350190.46,365829000.33
2021-04-15 00:00:00,LTC,278.89,291.13,266.12,286.21,954934.39,266722846.04
2021-04-16 00:00:00,LTC,286.21,318.2,266.29,308.72,2382454.33,701867521.32
2021-04-17 00:00:00,LTC,308.72,335.41,297.49,301.24,1822705.46,577827444.11
2021-04-18 00:00:00,LTC,301.24,304.99,238.18,274.02,2690250.19,721992191.64
2021-04-19 00:00:00,LTC,274.02,282.85,250.87,261.47,1386419.77,369748228.18
2021-04-20 00:00:00,LTC,261.47,274.67,234.42,261.21,1646589.02,417935878.15
2021-04-21 00:00:00,LTC,261.21,276.83,251.19,257.87,1077750.19,284852046.11
2021-04-22 00:00:00,LTC,257.87,289.68,240.15,252.94,1709894.06,455895210.57
2021-04-23 00:00:00,LTC,252.94,256.89,207.91,241.72,1966020.06,456486913.72
2021-04-24 00:00:00,LTC,241.72,241.73,220.97,225.33,770656.78,177173328.87
2021-04-25 00:00:00,LTC,225.33,235.74,211.2,224.06,685522.11,154072124.61
2021-04-26 00:00:00,LTC,224.06,248.42,221.61,247.69,995517.4,238573893.7
2021-04-27 00:00:00,LTC,247.69,263.61,244.14,260.09,712019.31,181571702.65
2021-04-28 00:00:00,LTC,260.09,266.89,248.56,258.82,738050.2,189383458.54
2021-04-29 00:00:00,LTC,258.82,262.87,248.73,255.54,628566.77,160333337.98
2021-04-30 00:00:00,LTC,255.54,273.71,252.84,271.53,641622.47,169993577.42
2021-05-01 00:00:00,LTC,271.53,278.42,266.35,276.92,503061.52,136696853.75
2021-05-02 00:00:00,LTC,276.92,277.48,265.29,269.09,411551.9,111302585.83
2021-05-03 00:00:00,LTC,269.09,299.66,268.75,294.71,939530.97,268879056.14
2021-05-04 00:00:00,LTC,294.71,327.63,272.78,305.43,2364745.77,719220940.96
2021-05-05 00:00:00,LTC,305.43,359.89,301.43,356.55,2245654.39,765206303.9
2021-05-06 00:00:00,LTC,356.55,364.99,320.29,354.51,1863266.61,637588404.14
2021-05-07 00:00:00,LTC,354.51,372.56,333.86,345.47,1618059.69,575035954.47
2021-05-08 00:00:00,LTC,345.47,356.87,334.99,347.59,805326.12,278750033.07
2021-05-09 00:00:00,LTC,347.59,389.41,334.41,388.28,1234640.11,444787813.1
2021-05-10 00:00:00,LTC,388.28,413.63,336.72,359.52,2188413.47,842770823.07
2021-05-11 00:00:00,LTC,359.52,379.77,345.53,378.04,1276007.12,461496494.75
2021-05-12 00:00:00,LTC,378.04,394.2,302.23,309.67,1952676.38,697131904.98
2021-05-13 00:00:00,LTC,309.67,333.33,291.71,317.93,1962718.75,616888573.31
2021-05-14 00:00:00,LTC,317.93,339.42,308.62,326.54,841437.56,273179870.18
2021-05-15 00:00:00,LTC,326.54,331.77,296.8,299.79,892762.06,279202236.35
2021-05-16 00:00:00,LTC,299.79,324.07,279.8,296.41,1072505.89,322286604.51
2021-05-17 00:00:00,LTC,296.41,296.59,261.75,281.36,1476738.99,412872782.1
2021-05-18 00:00:00,LTC,281.36,318.21,278.78,294.22,1398761.36,421655486.34
2021-05-19 00:00:00,LTC,294.22,300.21,147.03,186.64,3780217.26,840711035.58
2021-05-20 00:00:00,LTC,186.64,229,167.5,210.94,2940017.84,601260255.37
2021-05-21 00:00:00,LTC,210.94,219.05,157.34,180.42,2075498.65,384454576.04
2021-05-22 00:00:00,LTC,180.42,184.73,162.14,169.49,1236702.86,216094170.29
2021-05-23 00:00:00,LTC,169.49,176.36,118.45,142.75,2437809.47,345893708.79
2021-05-24 00:00:00,LTC,142.75,185.17,140.02,185.16,2029344.74,330654169.55
2021-05-25 00:00:00,LTC,185.16,194.68,167.62,183.82,1470926.23,263400631.94
2021-05-26 00:00:00,LTC,183.82,204.31,179.93,199.17,1171635,227429580.5
2021-05-27 00:00:00,LTC,199.17,208.72,180.76,193.97,1054225.25,205370793.53
2021-05-28 00:00:00,LTC,193.97,198.72,165.78,177.4,1370804.38,245092106.18
2021-05-29 00:00:00,LTC,177.4,188.61,157.82,163.95,1197307.97,205015366.49
2021-05-30 00:00:00,LTC,163.95,181,155.39,170.68,893557.59,152302795.95
2021-05-31 00:00:00,LTC,170.68,188.4,163.85,188.11,903305.8,160732159.47
2021-06-01 00:00:00,LTC,188.11,193.12,176.07,182.94,737296.09,134949444.04
2021-06-02 00:00:00,LTC,182.94,191.21,178.5,187.27,540073.3,99996262.95
2021-06-03 00:00:00,LTC,187.27,197.61,182.17,193.46,568843.36,108344667.46
2021-06-04 00:00:00,LTC,193.46,193.75,169.35,178.6,660842.84,117852794.28
2021-06-05 00:00:00,LTC,178.6,185.46,167.76,173.01,489061.51,86060695.75
2021-06-06 00:00:00,LTC,173.01,179.97,172.18,176.29,385530.04,67973377.16
2021-06-07 00:00:00,LTC,176.29,182.19,160.38,162.01,605466.64,105149939.49
2021-06-08 00:00:00,LTC,162.01,164.48,145.2,160.78,1006946.72,157670631.7
2021-06-09 00:00:00,LTC,160.78,173.21,152.58,172.44,770532.15,126435612.32
2021-06-10 00:00:00,LTC,172.44,174.62,162.32,168.03,519653.24,87567338.17
2021-06-11 00:00:00,LTC,168.03,173.69,160.69,162.86,480082.61,80633659.18
2021-06-12 00:00:00,LTC,162.86,164.25,154.31,161.69,437096.92,69643639.81
2021-06-13 00:00:00,LTC,161.69,171.66,156.65,170.93,357751.73,58665331.81
2021-06-14 00:00:00,LTC,170.93,180.07,166.4,179.97,525886.14,90566493.16
2021-06-15 00:00:00,LTC,179.97,181.1,172.26,175.24,356192.18,62928538.78
2021-06-16 00:00:00,LTC,175.24,177.22,164.56,166.54,414828.2,70518443.71
2021-06-17 00:00:00,LTC,166.54,173.31,162.98,167.1,337246.29,56846883.67
2021-06-18 00:00:00,LTC,167.1,167.35,151.4,156.34,469111.21,74691207.26
2021-06-19 00:00:00,LTC,156.34,160.79,152.46,152.77,258251.22,40477986.21
2021-06-20 00:00:00,LTC,152.77,156.14,143.97,154.86,393598.12,59263087.04
2021-06-21 00:00:00,LTC,154.86,155.42,124.18,124.64,1015655.74,138024627.34
2021-06-22 00:00:00,LTC,124.64,133.01,105.23,119.75,1520215.82,178671008.57
